event_id,train_number,station_id,timestamp,delay_minutes,cause_category,reported_text
EVT000001,12163,JHS,2026-02-18 05:45,1,Rolling Stock,Coach fault detected during pre-departure check at Jhansi Junction.
EVT000002,12119,BZA,2026-01-11 01:30,27,Signal,Signal failure near Vijayawada Junction causing hold-up.
EVT000003,12247,AGC,2026-02-24 00:30,46,Passenger,Overcrowding-related boarding delay at Agra Cantt.
EVT000004,12006,NDLS,2026-01-05 19:30,23,Passenger,Passenger chain-pulling incident near New Delhi.
EVT000005,12031,LDH,2026-01-01 16:30,1,Rolling Stock,Brake power certification delay at Ludhiana Junction.
EVT000006,12163,NDLS,2026-01-27 15:45,44,Crew,Crew shortage reported at New Delhi link.
EVT000007,12119,BPL,2026-02-01 01:00,29,Crew,Guard unavailability causing hold at Bhopal Junction.
EVT000008,12116,HWH,2026-01-26 08:30,57,Weather,Heavy rain reducing visibility near Howrah Junction.
EVT000009,12173,PRYJ,2026-01-01 02:45,12,Crew,Crew shortage reported at Prayagraj Junction link.
EVT000010,12226,NGP,2026-02-08 14:15,65,Rolling Stock,Brake power certification delay at Nagpur Junction.
EVT000011,12070,BPL,2026-02-05 07:15,77,Infrastructure,Track maintenance block in effect near Bhopal Junction.
EVT000012,12184,ROU,2026-01-11 02:15,37,Signal,Automatic signalling fault reported at Rourkela yard.
EVT000013,12014,ADI,2026-01-05 19:00,48,Operational,Crossing conflict with another service at Ahmedabad Junction.
EVT000014,12015,MS,2026-01-26 10:00,4,Infrastructure,Track maintenance block in effect near Chennai Egmore.
EVT000015,12240,ERS,2026-02-21 02:00,21,Weather,"Dense fog conditions near Ernakulam Junction, speed restricted."
EVT000016,12025,AII,2026-02-04 11:45,90,Rolling Stock,Brake power certification delay at Ajmer Junction.
EVT000017,12223,BZA,2026-02-12 02:15,16,Crew,Loco pilot booking-on delay at Vijayawada Junction.
EVT000018,12028,BPL,2026-02-08 00:30,39,Weather,High wind speed advisory near Bhopal Junction affecting running.
EVT000019,12152,KYN,2026-02-12 16:00,59,Weather,High wind speed advisory near Kalyan Junction affecting running.
EVT000020,12031,LDH,2026-02-18 08:30,18,Signal,Points failure at Ludhiana Junction delaying departure.
EVT000021,12208,ASN,2026-02-27 02:30,8,Passenger,Passenger chain-pulling incident near Asansol Junction.
EVT000022,12137,MAS,2026-01-02 03:45,45,Rolling Stock,"Locomotive failure reported, engine change required at Chennai Central."
EVT000023,12290,NJP,2026-01-05 15:45,9,Passenger,Passenger chain-pulling incident near New Jalpaiguri.
EVT000024,12066,VSKP,2026-01-14 17:00,36,Signal,Automatic signalling fault reported at Visakhapatnam yard.
EVT000025,12179,AGC,2026-01-30 21:15,15,Infrastructure,Overhead equipment (OHE) tripping reported near Agra Cantt.
EVT000026,12097,PRYJ,2026-02-09 11:15,29,Signal,Points failure at Prayagraj Junction delaying departure.
EVT000027,12137,SBC,2026-02-15 16:45,11,Crew,Crew shortage reported at KSR Bengaluru City Junction link.
EVT000028,12234,PRYJ,2026-02-26 06:15,32,Weather,High wind speed advisory near Prayagraj Junction affecting running.
EVT000029,12173,PRYJ,2026-02-14 08:00,28,Rolling Stock,Brake power certification delay at Prayagraj Junction.
EVT000030,12124,SC,2026-02-12 13:15,25,Crew,Guard unavailability causing hold at Secunderabad Junction.
EVT000031,12310,BPL,2026-01-19 08:15,32,Crew,Guard unavailability causing hold at Bhopal Junction.
EVT000032,12232,BZA,2026-01-15 10:45,9,Crew,Guard unavailability causing hold at Vijayawada Junction.
EVT000033,12177,KGP,2026-02-05 13:45,4,Weather,"Dense fog conditions near Kharagpur Junction, speed restricted."
EVT000034,12085,MLDT,2026-01-31 07:30,10,Operational,Platform congestion at Malda Town delaying berthing.
EVT000035,12120,BBS,2026-01-11 01:00,54,Infrastructure,Overhead equipment (OHE) tripping reported near Bhubaneswar.
EVT000036,12217,MAS,2026-02-19 01:00,30,Infrastructure,Overhead equipment (OHE) tripping reported near Chennai Central.
EVT000037,12068,CSMT,2026-02-14 10:15,22,Rolling Stock,Coach fault detected during pre-departure check at Chhatrapati Shivaji Maharaj Terminus.
EVT000038,12108,MAS,2026-02-25 16:45,12,Signal,Signal failure near Chennai Central causing hold-up.
EVT000039,12111,VSKP,2026-01-24 11:00,49,Rolling Stock,Brake power certification delay at Visakhapatnam.
EVT000040,12156,COR,2026-01-19 04:00,34,Infrastructure,Track maintenance block in effect near Kota Junction.
EVT000041,12053,JP,2026-02-06 10:45,45,Rolling Stock,Brake power certification delay at Jaipur Junction.
EVT000042,12147,UBL,2026-01-06 20:30,17,Passenger,Passenger chain-pulling incident near Hubballi Junction.
EVT000043,12153,BZA,2026-01-11 19:00,48,Infrastructure,Track maintenance block in effect near Vijayawada Junction.
EVT000044,12208,AGC,2026-02-11 19:15,45,Passenger,"Medical emergency on board, halted at Agra Cantt."
EVT000045,12198,PRYJ,2026-01-29 05:30,5,Signal,Automatic signalling fault reported at Prayagraj Junction yard.
EVT000046,12104,MAS,2026-02-28 19:45,13,Infrastructure,Overhead equipment (OHE) tripping reported near Chennai Central.
EVT000047,12291,NJP,2026-01-30 10:00,30,Signal,Automatic signalling fault reported at New Jalpaiguri yard.
EVT000048,12188,JBP,2026-02-21 16:15,31,Weather,"Dense fog conditions near Jabalpur Junction, speed restricted."
EVT000049,12245,DLI,2026-01-04 10:45,76,Crew,Guard unavailability causing hold at Delhi Junction (Old Delhi).
EVT000050,12087,MAS,2026-01-13 02:00,3,Infrastructure,Speed restriction due to track renewal work near Chennai Central.
EVT000051,12257,SC,2026-01-16 23:45,12,Signal,Points failure at Secunderabad Junction delaying departure.
EVT000052,12196,BSP,2026-01-14 23:00,41,Signal,Points failure at Bilaspur Junction delaying departure.
EVT000053,12036,KGP,2026-02-17 23:45,7,Infrastructure,Track maintenance block in effect near Kharagpur Junction.
EVT000054,12013,COR,2026-02-08 20:45,43,Passenger,Passenger chain-pulling incident near Kota Junction.
EVT000055,12228,TVC,2026-02-21 02:45,66,Infrastructure,Speed restriction due to track renewal work near Thiruvananthapuram Central.
EVT000056,12018,BWN,2026-01-28 02:30,57,Rolling Stock,Coach fault detected during pre-departure check at Barddhaman Junction.
EVT000057,12042,KGP,2026-01-21 00:15,72,Crew,Guard unavailability causing hold at Kharagpur Junction.
EVT000058,12097,PNBE,2026-01-01 08:00,62,Rolling Stock,"Locomotive failure reported, engine change required at Patna Junction."
EVT000059,12246,NDLS,2026-02-20 16:15,41,Crew,Guard unavailability causing hold at New Delhi.
EVT000060,12068,CSMT,2026-01-04 17:45,1,Operational,Platform congestion at Chhatrapati Shivaji Maharaj Terminus delaying berthing.
EVT000061,12135,BSP,2026-01-03 14:45,16,Weather,"Dense fog conditions near Bilaspur Junction, speed restricted."
EVT000062,12316,MS,2026-02-18 14:30,25,Passenger,Passenger chain-pulling incident near Chennai Egmore.
EVT000063,12016,GHY,2026-02-23 08:15,39,Signal,Automatic signalling fault reported at Guwahati yard.
EVT000064,12200,SBC,2026-01-15 15:15,34,Weather,Heavy rain reducing visibility near KSR Bengaluru City Junction.
EVT000065,12273,JHS,2026-01-24 05:30,25,Rolling Stock,Brake power certification delay at Jhansi Junction.
EVT000066,12306,CSMT,2026-01-18 14:30,7,Operational,Late running of connecting rake into Chhatrapati Shivaji Maharaj Terminus.
EVT000067,12240,ERS,2026-02-14 19:15,72,Rolling Stock,Brake power certification delay at Ernakulam Junction.
EVT000068,12117,HWH,2026-02-01 15:45,1,Rolling Stock,Brake power certification delay at Howrah Junction.
EVT000069,12307,BCT,2026-01-28 00:45,42,Crew,Loco pilot booking-on delay at Mumbai Central.
EVT000070,12051,COR,2026-01-14 19:30,8,Rolling Stock,Brake power certification delay at Kota Junction.
EVT000071,12274,PRYJ,2026-01-15 18:00,36,Infrastructure,Track maintenance block in effect near Prayagraj Junction.
EVT000072,12174,VSKP,2026-01-02 04:30,1,Rolling Stock,Brake power certification delay at Visakhapatnam.
EVT000073,12209,BPL,2026-02-24 19:45,1,Weather,Heavy rain reducing visibility near Bhopal Junction.
EVT000074,12182,ST,2026-02-28 12:00,56,Weather,"Dense fog conditions near Surat, speed restricted."
EVT000075,12167,NGP,2026-02-02 09:15,34,Signal,Automatic signalling fault reported at Nagpur Junction yard.
EVT000076,12084,NGP,2026-01-20 20:30,37,Signal,Signal failure near Nagpur Junction causing hold-up.
EVT000077,12269,MAS,2026-02-07 09:00,43,Operational,Late running of connecting rake into Chennai Central.
EVT000078,12178,HWH,2026-01-15 10:45,44,Weather,"Dense fog conditions near Howrah Junction, speed restricted."
EVT000079,12123,SC,2026-02-19 14:30,26,Signal,Signal failure near Secunderabad Junction causing hold-up.
EVT000080,12228,TVC,2026-02-28 21:30,48,Operational,Crossing conflict with another service at Thiruvananthapuram Central.
EVT000081,12234,PRYJ,2026-02-21 23:30,43,Infrastructure,Speed restriction due to track renewal work near Prayagraj Junction.
EVT000082,12079,ROU,2026-01-11 10:30,16,Signal,Automatic signalling fault reported at Rourkela yard.
EVT000083,12234,PRYJ,2026-02-01 10:15,23,Crew,Crew shortage reported at Prayagraj Junction link.
EVT000084,12245,NGP,2026-02-28 05:30,22,Passenger,Overcrowding-related boarding delay at Nagpur Junction.
EVT000085,12219,SDAH,2026-02-01 08:00,38,Operational,Platform congestion at Sealdah delaying berthing.
EVT000086,12030,KYN,2026-02-03 10:30,63,Infrastructure,Track maintenance block in effect near Kalyan Junction.
