train_number,train_name,train_type,origin_station,destination_station,zone_id,priority,total_stops,avg_speed_kmph
12000,Jaipur Junction - New Jalpaiguri Superfast,Superfast,JP,NJP,NWR,2,6,75
12001,Mumbai Central - Madgaon Junction MEMU,MEMU,BCT,MAO,WR,4,4,45
12002,Bilaspur Junction - Kalyan Junction Express,Express,BSP,KYN,SECR,3,4,60
12003,Kalyan Junction - Surat MEMU,MEMU,KYN,ST,CR,4,4,45
12004,Bhubaneswar - Ahmedabad Junction Express,Express,BBS,ADI,ECoR,3,3,60
12005,Puri - Jodhpur Junction Passenger,Passenger,PURI,JU,ECoR,5,5,40
12006,Gorakhpur Junction - Kota Junction Passenger,Passenger,GKP,COR,NER,5,5,40
12007,Ajmer Junction - Jhansi Junction Express,Express,AII,JHS,NWR,3,5,60
12008,Madgaon Junction - Hubballi Junction MEMU,MEMU,MAO,UBL,KR,4,2,45
12009,Bhubaneswar - Muzaffarpur Junction Freight,Freight,BBS,MFP,ECoR,6,6,35
12010,Bhusaval Junction - Madurai Junction Express,Express,BSL,MDU,CR,3,5,60
12011,Asansol Junction - Ahmedabad Junction Superfast,Superfast,ASN,ADI,ER,2,5,75
12012,Hubballi Junction - Madgaon Junction Superfast,Superfast,UBL,MAO,SWR,2,2,75
12013,Ratlam Junction - Madurai Junction Superfast,Superfast,RTM,MDU,WR,2,5,75
12014,New Jalpaiguri - Cuttack Junction Freight,Freight,NJP,CTC,NFR,6,6,35
12015,Mysuru Junction - Chennai Egmore Superfast,Superfast,MYS,MS,SWR,2,5,75
12016,New Jalpaiguri - Solapur Junction Passenger,Passenger,NJP,SUR,NFR,5,6,40
12017,Ludhiana Junction - Ambala Cantt Junction MEMU,MEMU,LDH,UMB,NR,4,2,45
12018,Barddhaman Junction - Bhubaneswar Express,Express,BWN,BBS,ER,3,6,60
12019,Solapur Junction - Gorakhpur Junction Superfast,Superfast,SUR,GKP,CR,2,6,75
12020,Gorakhpur Junction - Bhusaval Junction Express,Express,GKP,BSL,NER,3,6,60
12021,Madgaon Junction - Mysuru Junction Superfast,Superfast,MAO,MYS,KR,2,3,75
12022,Jabalpur Junction - Kota Junction Freight,Freight,JBP,COR,WCR,6,2,35
12023,Chhatrapati Shivaji Maharaj Terminus - Amritsar Junction Express,Express,CSMT,ASR,CR,3,4,60
12024,Tiruchchirapalli Junction - KSR Bengaluru City Junction Passenger,Passenger,TPJ,SBC,SR,5,4,40
12025,Ajmer Junction - Bhubaneswar Express,Express,AII,BBS,NWR,3,4,60
12026,Agra Cantt - Ludhiana Junction Passenger,Passenger,AGC,LDH,NCR,5,4,40
12027,Ratlam Junction - Jaipur Junction MEMU,MEMU,RTM,JP,WR,4,3,45
12028,Jhansi Junction - Thiruvananthapuram Central Superfast,Superfast,JHS,TVC,NCR,2,5,75
12029,Vijayawada Junction - Guwahati Express,Express,BZA,GHY,SCR,3,5,60
12030,Bhusaval Junction - Cuttack Junction Express,Express,BSL,CTC,CR,3,5,60
12031,Ambala Cantt Junction - Ludhiana Junction Freight,Freight,UMB,LDH,NR,6,2,35
12032,Hubballi Junction - Ratlam Junction Superfast,Superfast,UBL,RTM,SWR,2,5,75
12033,Pune Junction - KSR Bengaluru City Junction Superfast,Superfast,PUNE,SBC,CR,2,4,75
12034,Vijayawada Junction - Solapur Junction Freight,Freight,BZA,SUR,SCR,6,4,35
12035,Hubballi Junction - Pune Junction MEMU,MEMU,UBL,PUNE,SWR,4,4,45
12036,Secunderabad Junction - Barddhaman Junction Express,Express,SC,BWN,SCR,3,5,60
12037,Coimbatore Junction - Dhanbad Junction Superfast,Superfast,CBE,DHN,SR,2,5,75
12038,Patna Junction - Ernakulam Junction Passenger,Passenger,PNBE,ERS,ECR,5,4,40
12039,Mysuru Junction - Surat Express,Express,MYS,ST,SWR,3,6,60
12040,Thiruvananthapuram Central - Pune Junction MEMU,MEMU,TVC,PUNE,SR,4,4,45
12041,Jhansi Junction - Kharagpur Junction Express,Express,JHS,KGP,NCR,3,4,60
12042,Howrah Junction - Durg Junction Freight,Freight,HWH,DURG,ER,6,5,35
12043,Mumbai Central - Coimbatore Junction Freight,Freight,BCT,CBE,WR,6,5,35
12044,Bilaspur Junction - Prayagraj Junction Shatabdi,Shatabdi,BSP,PRYJ,SECR,1,2,95
12045,Chhatrapati Shivaji Maharaj Terminus - Jabalpur Junction Superfast,Superfast,CSMT,JBP,CR,2,4,75
12046,Guwahati - Prayagraj Junction Passenger,Passenger,GHY,PRYJ,NFR,5,4,40
12047,Guwahati - Muzaffarpur Junction Passenger,Passenger,GHY,MFP,NFR,5,3,40
12048,Secunderabad Junction - Ahmedabad Junction MEMU,MEMU,SC,ADI,SCR,4,5,45
12049,Guwahati - Surat Passenger,Passenger,GHY,ST,NFR,5,3,40
12050,Jabalpur Junction - Puri Freight,Freight,JBP,PURI,WCR,6,5,35
12051,Kota Junction - New Jalpaiguri Express,Express,COR,NJP,WCR,3,5,60
12052,Ludhiana Junction - Pune Junction Superfast,Superfast,LDH,PUNE,NR,2,4,75
12053,Ajmer Junction - Dhanbad Junction Express,Express,AII,DHN,NWR,3,7,60
12054,Visakhapatnam - Kota Junction Superfast,Superfast,VSKP,COR,ECoR,2,3,75
12055,Chennai Egmore - Gaya Junction Shatabdi,Shatabdi,MS,GAYA,SR,1,5,95
12056,Ajmer Junction - Madurai Junction Freight,Freight,AII,MDU,NWR,6,4,35
12057,Vijayawada Junction - Kharagpur Junction Superfast,Superfast,BZA,KGP,SCR,2,4,75
12058,New Delhi - Bhubaneswar Superfast,Superfast,NDLS,BBS,NR,2,3,75
12059,Bilaspur Junction - Thiruvananthapuram Central Express,Express,BSP,TVC,SECR,3,5,60
12060,Guwahati - KSR Bengaluru City Junction Superfast,Superfast,GHY,SBC,NFR,2,5,75
12061,Visakhapatnam - Delhi Junction (Old Delhi) Express,Express,VSKP,DLI,ECoR,3,3,60
12062,Ambala Cantt Junction - Sealdah Passenger,Passenger,UMB,SDAH,NR,5,3,40
12063,Gaya Junction - Dhanbad Junction Passenger,Passenger,GAYA,DHN,ECR,5,2,40
12064,Howrah Junction - Ratlam Junction Express,Express,HWH,RTM,ER,3,5,60
12065,Muzaffarpur Junction - Delhi Junction (Old Delhi) Rajdhani,Rajdhani,MFP,DLI,ECR,1,5,90
12066,Visakhapatnam - Nagpur Junction MEMU,MEMU,VSKP,NGP,ECoR,4,4,45
12067,Durg Junction - Asansol Junction Passenger,Passenger,DURG,ASN,SECR,5,6,40
12068,Bhopal Junction - Chhatrapati Shivaji Maharaj Terminus Superfast,Superfast,BPL,CSMT,WCR,2,3,75
12069,New Jalpaiguri - Ludhiana Junction Express,Express,NJP,LDH,NFR,3,5,60
12070,Bhopal Junction - Jodhpur Junction Express,Express,BPL,JU,WCR,3,4,60
12071,Ajmer Junction - Solapur Junction Superfast,Superfast,AII,SUR,NWR,2,5,75
12072,Barddhaman Junction - Ahmedabad Junction Superfast,Superfast,BWN,ADI,ER,2,5,75
12073,Puri - Sealdah Superfast,Superfast,PURI,SDAH,ECoR,2,5,75
12074,Mysuru Junction - Chennai Egmore Express,Express,MYS,MS,SWR,3,5,60
12075,Bhopal Junction - Thiruvananthapuram Central MEMU,MEMU,BPL,TVC,WCR,4,4,45
12076,Secunderabad Junction - KSR Bengaluru City Junction Shatabdi,Shatabdi,SC,SBC,SCR,1,2,95
12077,Cuttack Junction - Bilaspur Junction Shatabdi,Shatabdi,CTC,BSP,ECoR,1,5,95
12078,Madurai Junction - Solapur Junction Express,Express,MDU,SUR,SR,3,5,60
12079,Durg Junction - Ernakulam Junction Superfast,Superfast,DURG,ERS,SECR,2,6,75
12080,New Delhi - Kharagpur Junction Express,Express,NDLS,KGP,NR,3,4,60
12081,Raipur Junction - Bhubaneswar MEMU,MEMU,R,BBS,SECR,4,4,45
12082,Guwahati - Sealdah Superfast,Superfast,GHY,SDAH,NFR,2,4,75
12083,Visakhapatnam - Surat Express,Express,VSKP,ST,ECoR,3,4,60
12084,Mumbai Central - Delhi Junction (Old Delhi) Superfast,Superfast,BCT,DLI,WR,2,3,75
12085,New Jalpaiguri - Sealdah Superfast,Superfast,NJP,SDAH,NFR,2,3,75
12086,Visakhapatnam - Chennai Central Superfast,Superfast,VSKP,MAS,ECoR,2,2,75
12087,Ernakulam Junction - Nagpur Junction MEMU,MEMU,ERS,NGP,SR,4,5,45
12088,Ernakulam Junction - Cuttack Junction Rajdhani,Rajdhani,ERS,CTC,SR,1,5,90
12089,Hubballi Junction - Raipur Junction Freight,Freight,UBL,R,SWR,6,5,35
12090,Hubballi Junction - Muzaffarpur Junction Superfast,Superfast,UBL,MFP,SWR,2,7,75
12091,Visakhapatnam - Muzaffarpur Junction MEMU,MEMU,VSKP,MFP,ECoR,4,5,45
12092,Kalyan Junction - Jodhpur Junction Express,Express,KYN,JU,CR,3,3,60
12093,Bilaspur Junction - Howrah Junction MEMU,MEMU,BSP,HWH,SECR,4,4,45
12094,Durg Junction - Ajmer Junction Express,Express,DURG,AII,SECR,3,6,60
12095,Jaipur Junction - Kalyan Junction Express,Express,JP,KYN,NWR,3,2,60
12096,Mysuru Junction - Jhansi Junction MEMU,MEMU,MYS,JHS,SWR,4,4,45
12097,Gorakhpur Junction - Bhusaval Junction Express,Express,GKP,BSL,NER,3,6,60
12098,Hyderabad Deccan - New Jalpaiguri Freight,Freight,HYB,NJP,SCR,6,7,35
12099,Madurai Junction - Asansol Junction MEMU,MEMU,MDU,ASN,SR,4,5,45
12100,Sealdah - Pune Junction MEMU,MEMU,SDAH,PUNE,ER,4,4,45
12101,Kharagpur Junction - Patna Junction Express,Express,KGP,PNBE,SER,3,2,60
12102,Kalyan Junction - Bhubaneswar MEMU,MEMU,KYN,BBS,CR,4,2,45
12103,Sealdah - Vijayawada Junction Freight,Freight,SDAH,BZA,ER,6,4,35
12104,Chennai Central - Kharagpur Junction Express,Express,MAS,KGP,SR,3,2,60
12105,Puri - Jaipur Junction Superfast,Superfast,PURI,JP,ECoR,2,4,75
12106,Ernakulam Junction - Chennai Central Passenger,Passenger,ERS,MAS,SR,5,2,40
12107,Visakhapatnam - Mysuru Junction Freight,Freight,VSKP,MYS,ECoR,6,5,35
12108,Mumbai Central - Chennai Central Express,Express,BCT,MAS,WR,3,4,60
12109,Tatanagar Junction - Delhi Junction (Old Delhi) Freight,Freight,TATA,DLI,SER,6,5,35
12110,Bhopal Junction - Barddhaman Junction Superfast,Superfast,BPL,BWN,WCR,2,6,75
12111,Ludhiana Junction - Madurai Junction Freight,Freight,LDH,MDU,NR,6,5,35
12112,Ambala Cantt Junction - Bhopal Junction Express,Express,UMB,BPL,NR,3,4,60
12113,Coimbatore Junction - Agra Cantt Express,Express,CBE,AGC,SR,3,6,60
12114,Ambala Cantt Junction - KSR Bengaluru City Junction Superfast,Superfast,UMB,SBC,NR,2,5,75
12115,Bilaspur Junction - Mumbai Central Freight,Freight,BSP,BCT,SECR,6,3,35
12116,Nagpur Junction - Asansol Junction Superfast,Superfast,NGP,ASN,CR,2,6,75
12117,Bhopal Junction - Howrah Junction MEMU,MEMU,BPL,HWH,WCR,4,5,45
12118,Chennai Egmore - Jaipur Junction Rajdhani,Rajdhani,MS,JP,SR,1,4,90
12119,Bhopal Junction - Vijayawada Junction MEMU,MEMU,BPL,BZA,WCR,4,2,45
12120,Mumbai Central - Cuttack Junction Express,Express,BCT,CTC,WR,3,3,60
12121,Vijayawada Junction - Kalyan Junction MEMU,MEMU,BZA,KYN,SCR,4,3,45
12122,Ambala Cantt Junction - Hyderabad Deccan Passenger,Passenger,UMB,HYB,NR,5,6,40
12123,Secunderabad Junction - Solapur Junction Express,Express,SC,SUR,SCR,3,3,60
12124,Bhubaneswar - KSR Bengaluru City Junction Shatabdi,Shatabdi,BBS,SBC,ECoR,1,5,95
12125,New Jalpaiguri - Patna Junction Passenger,Passenger,NJP,PNBE,NFR,5,4,40
12126,Ambala Cantt Junction - Mumbai Central Shatabdi,Shatabdi,UMB,BCT,NR,1,5,95
12127,Guwahati - Barddhaman Junction Express,Express,GHY,BWN,NFR,3,4,60
12128,Patna Junction - Muzaffarpur Junction Shatabdi,Shatabdi,PNBE,MFP,ECR,1,2,95
12129,Ajmer Junction - Thiruvananthapuram Central Express,Express,AII,TVC,NWR,3,3,60
12130,Jaipur Junction - Cuttack Junction Passenger,Passenger,JP,CTC,NWR,5,4,40
12131,Raipur Junction - Tiruchchirapalli Junction Express,Express,R,TPJ,SECR,3,6,60
12132,Thiruvananthapuram Central - Delhi Junction (Old Delhi) Passenger,Passenger,TVC,DLI,SR,5,5,40
12133,Jaipur Junction - Jabalpur Junction Express,Express,JP,JBP,NWR,3,3,60
12134,Howrah Junction - Puri Express,Express,HWH,PURI,ER,3,6,60
12135,Durg Junction - New Delhi Rajdhani,Rajdhani,DURG,NDLS,SECR,1,4,90
12136,Visakhapatnam - Chhatrapati Shivaji Maharaj Terminus Superfast,Superfast,VSKP,CSMT,ECoR,2,4,75
12137,Ernakulam Junction - KSR Bengaluru City Junction Superfast,Superfast,ERS,SBC,SR,2,4,75
12138,Ernakulam Junction - Ahmedabad Junction Express,Express,ERS,ADI,SR,3,6,60
12139,Secunderabad Junction - Cuttack Junction Passenger,Passenger,SC,CTC,SCR,5,5,40
12140,Hyderabad Deccan - Howrah Junction MEMU,MEMU,HYB,HWH,SCR,4,5,45
12141,Delhi Junction (Old Delhi) - Mumbai Central Superfast,Superfast,DLI,BCT,NR,2,3,75
12142,Tatanagar Junction - Asansol Junction Shatabdi,Shatabdi,TATA,ASN,SER,1,4,95
12143,KSR Bengaluru City Junction - Gorakhpur Junction Express,Express,SBC,GKP,SWR,3,6,60
12144,Chennai Egmore - Chennai Central MEMU,MEMU,MS,MAS,SR,4,2,45
12145,Surat - Jodhpur Junction MEMU,MEMU,ST,JU,WR,4,5,45
12146,Ahmedabad Junction - Sealdah Superfast,Superfast,ADI,SDAH,WR,2,5,75
12147,Hubballi Junction - Bhubaneswar MEMU,MEMU,UBL,BBS,SWR,4,4,45
12148,Jabalpur Junction - Ahmedabad Junction Superfast,Superfast,JBP,ADI,WCR,2,2,75
12149,Chhatrapati Shivaji Maharaj Terminus - Cuttack Junction Superfast,Superfast,CSMT,CTC,CR,2,4,75
12150,Raipur Junction - KSR Bengaluru City Junction Passenger,Passenger,R,SBC,SECR,5,4,40
12151,Surat - Hyderabad Deccan MEMU,MEMU,ST,HYB,WR,4,6,45
12152,Jodhpur Junction - Pune Junction Passenger,Passenger,JU,PUNE,NWR,5,4,40
12153,Secunderabad Junction - Bhubaneswar Passenger,Passenger,SC,BBS,SCR,5,4,40
12154,Durg Junction - Delhi Junction (Old Delhi) Passenger,Passenger,DURG,DLI,SECR,5,4,40
12155,Nagpur Junction - Delhi Junction (Old Delhi) MEMU,MEMU,NGP,DLI,CR,4,2,45
12156,Puri - Kota Junction Superfast,Superfast,PURI,COR,ECoR,2,5,75
12157,Prayagraj Junction - Bilaspur Junction MEMU,MEMU,PRYJ,BSP,NCR,4,2,45
12158,Thiruvananthapuram Central - KSR Bengaluru City Junction Passenger,Passenger,TVC,SBC,SR,5,4,40
12159,Ratlam Junction - Ajmer Junction Passenger,Passenger,RTM,AII,WR,5,4,40
12160,Durg Junction - Prayagraj Junction Express,Express,DURG,PRYJ,SECR,3,3,60
12161,Jabalpur Junction - Prayagraj Junction Shatabdi,Shatabdi,JBP,PRYJ,WCR,1,3,95
12162,Tiruchchirapalli Junction - Madgaon Junction MEMU,MEMU,TPJ,MAO,SR,4,6,45
12163,Jhansi Junction - Visakhapatnam Express,Express,JHS,VSKP,NCR,3,4,60
12164,Kalyan Junction - Bilaspur Junction Express,Express,KYN,BSP,CR,3,4,60
12165,Bhusaval Junction - Mumbai Central Express,Express,BSL,BCT,CR,3,4,60
12166,Solapur Junction - Ratlam Junction Freight,Freight,SUR,RTM,CR,6,4,35
12167,Surat - Bhopal Junction Express,Express,ST,BPL,WR,3,4,60
12168,Visakhapatnam - Jabalpur Junction MEMU,MEMU,VSKP,JBP,ECoR,4,4,45
12169,Ahmedabad Junction - Muzaffarpur Junction Express,Express,ADI,MFP,WR,3,4,60
12170,Chhatrapati Shivaji Maharaj Terminus - Amritsar Junction Freight,Freight,CSMT,ASR,CR,6,4,35
12171,Pune Junction - Muzaffarpur Junction Express,Express,PUNE,MFP,CR,3,4,60
12172,Chennai Egmore - Sealdah Passenger,Passenger,MS,SDAH,SR,5,5,40
12173,Mysuru Junction - Prayagraj Junction Superfast,Superfast,MYS,PRYJ,SWR,2,5,75
12174,Chennai Central - Bhubaneswar MEMU,MEMU,MAS,BBS,SR,4,3,45
12175,Jaipur Junction - Vijayawada Junction MEMU,MEMU,JP,BZA,NWR,4,4,45
12176,Jabalpur Junction - Jhansi Junction Superfast,Superfast,JBP,JHS,WCR,2,3,75
